id,name_ja,name_en,local_name,ingredient_family,base_ingredients,form,shape,processing,cooking_method,fermented,texture,region,country_area,served_with,staple_level,search_keywords,similar_foods,notes,source_url,confidence,review_status,production_volume_note,price_level,cultivation_ease,satiety_level,calories_kcal_per_100g,calorie_basis,deliciousness_level,sweetness_level,taste_profile,storage_duration,storage_method,popularity_level,metrics_source_url,metrics_confidence,metrics_note
71,魚とパンノキ,Fish and breadfruit,,animal_fruit_starch,"fish, breadfruit",combined staple,塊 + 魚,焼く/茹でる,焼く/茹でる,false,ほくほく + 旨味,Pacific/Caribbean,"Pacific Islands, Caribbean","ココナッツ, 野菜",primary_component,"魚,パンノキ,太平洋,島",魚と米,島嶼部の主食的組み合わせ,https://en.wikipedia.org/wiki/Staple_food,0.48,starter,regional_or_mixed_ingredient; needs review,medium,medium,medium,,varies,subjective_medium_high,low,"mild, toasty",medium,depends on preparation,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
72,タピオカ/キャッサバ澱粉食品,Tapioca starch foods,Tapioca,root,cassava starch,pearls/pancake/porridge,粒/粉/薄焼き,澱粉抽出,煮る/焼く,false,もちもち,Latin America/Asia,"Brazil, Southeast Asia, Global","甘味, ココナッツ, ソース",secondary_or_snack,"キャッサバ澱粉,タピオカ,もちもち","サゴ,アチェケ",主食・菓子・軽食にまたがるため要レビュー,https://en.wikipedia.org/wiki/Staple_food,0.45,starter,high_tropical_root_crop; see FAOSTAT,low,high,medium,80,cooked porridge average,subjective_medium_high,low,"mild, toasty",short_prepared,eat fresh or refrigerate cooked portions,global_common,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
73,マンジョーカ/ファロファ,Farofa / Cassava flour,Farofa,root,cassava flour,toasted flour,粉/粒,"粉化, 炒る",炒る,false,粒状/乾いた,South America,Brazil,"米, 豆, 肉",secondary_component,"キャッサバ粉,ブラジル,炒る","ガリ,アチェケ",主食補助として重要,https://en.wikipedia.org/wiki/Staple_food,0.45,starter,high_tropical_root_crop; see FAOSTAT,low,high,high,160,boiled root/product average,subjective_medium,low,mild,medium_long,dried/fermented products airtight,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
74,クイノア,Quinoa,Quinoa,pseudocereal,quinoa,grain-like dish,粒状,"洗浄, 煮る",煮る,false,粒状/軽い,Andes,"Peru, Bolivia, Andes","野菜, 肉, 豆",historical_or_secondary,"キヌア,アンデス,粒,煮る","米,カーシャ",Wikipediaの主食説明で歴史的アンデス主食として言及,https://en.wikipedia.org/wiki/Staple_food,0.62,starter,regional_pseudocereal; Andes/global,medium_high,medium,medium,120,cooked grain,subjective_medium,low,"mild, nutty",short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
75,オカ,Oca tubers,Oca,tuber,oca,boiled/roasted tuber,塊,洗浄,茹でる/焼く,false,甘酸っぱい/ほくほく,Andes,"Peru, Bolivia, Andes","肉, 野菜",historical_or_regional,"オカ,アンデス,塊茎","ジャガイモ,ウルコ",Wikipediaの主食説明で歴史的アンデス主食として言及,https://en.wikipedia.org/wiki/Staple_food,0.58,starter,regional_or_mixed_ingredient; needs review,medium,medium,high,,varies,subjective_medium,low,"mild, toasty",medium,depends on preparation,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
76,ウルコ,Ulluco,Ulluco,tuber,ulluco,boiled tuber,塊,洗浄,茹でる/煮る,false,滑らか/水分多い,Andes,"Peru, Bolivia, Andes","煮込み, 肉",historical_or_regional,"ウルコ,アンデス,塊茎","オカ,ジャガイモ",Wikipediaの主食説明で歴史的アンデス主食として言及,https://en.wikipedia.org/wiki/Staple_food,0.56,starter,regional_or_mixed_ingredient; needs review,medium,medium,high,,varies,subjective_medium,low,mild,medium,depends on preparation,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
77,アマランサス,Amaranth grain,Amaranth,pseudocereal,amaranth,grain/porridge,粒状,煮る/膨化,煮る/炒る,false,粒状,Americas/Global,"Andes, Mexico, Global","甘味, 粥, パン",historical_or_secondary,"アマランサス,擬似穀物,粒","キヌア,ミレット",Wikipediaの主食説明で歴史的アンデス主食として言及,https://en.wikipedia.org/wiki/Staple_food,0.52,starter,regional_or_mixed_ingredient; needs review,medium,medium,medium,80,cooked porridge average,subjective_medium_high,low,mild,short_prepared,eat fresh or refrigerate cooked portions,global_common,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
78,ペミカン,Pemmican,Pemmican,animal,"dried meat, fat",preserved food,塊/ペースト,"乾燥, 脂肪で固める",保存食,false,高脂肪/濃厚,North America,Plains Indigenous peoples,"そのまま, 煮込み",historical_staple,"肉,脂肪,保存食,北米",干し肉,Wikipediaの主食説明で歴史的主食として言及,https://en.wikipedia.org/wiki/Staple_food,0.5,starter,livestock/animal food; not crop,high,n/a,medium,250,varies,subjective_medium_high,low,mild,long_shelf_stable,store dry and airtight,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
79,乳製品中心食,Milk/dairy staple,,animal,"milk, cheese, yogurt",dairy,液体/固形,発酵/凝固,そのまま/加工,true,酸味/乳脂肪,Pastoral regions,"Central Asia, Mongolia, pastoral societies","肉, 穀物, 茶",primary_component,"乳,チーズ,ヨーグルト,遊牧",肉中心食,FAOは地域によって乳・卵・チーズ等も主食になり得ると説明,https://www.fao.org/4/U8480E/U8480E07.htm,0.52,starter,livestock/animal food; not crop,medium,n/a,medium,61,fluid milk,subjective_medium_high,low,"fermented, sour",short,refrigerated or fermented,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
80,肉中心食,Meat staple,,animal,meat,meat-based diet,塊/乾燥,乾燥/加熱,焼く/煮る/乾燥,false,高タンパク,Pastoral/Arctic regions,"Mongolia, Arctic, pastoral societies","乳製品, 脂肪",primary_component,"肉,遊牧,寒冷地,主食","ペミカン,乳製品中心食",FAOは地域によって肉・魚なども主食になり得ると説明,https://www.fao.org/4/U8480E/U8480E07.htm,0.45,starter,livestock/animal food; not crop,high,n/a,medium,250,varies,subjective_medium_high,low,"mild, toasty",long_shelf_stable,store dry and airtight,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
81,おにぎり,Onigiri,Onigiri,grain,rice,rice ball,三角/丸い,"炊く, 成形",そのまま,false,粒状/まとまる,East Asia,Japan,"海苔, 具材",common_meal,"米,ごはん,握る,日本","ご飯,寿司",炊いた米を握って具を入れる携帯性の高い主食,https://en.wikipedia.org/wiki/Onigiri,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,130,cooked,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
82,寿司飯,Sushi rice,Shari,grain,rice,seasoned rice,粒状,"炊く, 酢で調味",そのまま,false,粘る/酸味,East Asia,Japan,"魚, 海苔, 野菜",common_meal,"米,酢飯,日本,寿司","ご飯,おにぎり",酢で調味した米を使う日本の米主食,https://en.wikipedia.org/wiki/Sushi_rice,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,130,cooked,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
83,赤飯,Sekihan,Sekihan,grain_legume,"glutinous rice, adzuki beans",steamed rice dish,粒状,"浸水, 蒸す",蒸す,false,もちもち,East Asia,Japan,"ごま塩, お祝い料理",ritual_or_special,"もち米,小豆,蒸す,日本","餅,ご飯",もち米と小豆を蒸した行事食,https://en.wikipedia.org/wiki/Sekihan,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,high,130,cooked,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
84,炊き込みご飯,Takikomi gohan,Takikomi gohan,grain,rice,seasoned rice dish,粒状,具材と炊く,炊く,false,粒状/香り,East Asia,Japan,"野菜, 肉, 魚介",common_meal,"米,炊き込み,日本","ビリヤニ,ピラフ",具材や調味料と米を炊き込む料理,https://en.wikipedia.org/wiki/Takikomi_gohan,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,high,130,cooked,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
85,ちまき,Zongzi / Chimaki,Zongzi,grain,glutinous rice,wrapped rice dumpling,包み団子,"浸水, 包む",蒸す/茹でる,false,もちもち,East Asia,"China, Taiwan, Japan","肉, 豆, 笹の葉",ritual_or_special,"もち米,包む,中国,端午","タマレス,ケンケ",もち米を葉で包んで加熱する食品,https://en.wikipedia.org/wiki/Zongzi_Chimaki,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,high,130,cooked,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
86,年糕,Nian gao,Nian gao,grain,glutinous rice,rice cake,塊/スライス,"製粉, 蒸す, 搗く",蒸す/焼く/煮る,false,もちもち,East Asia,China,"炒め物, 甘味",ritual_or_special,"もち米,餅,中国","餅,トック",中国のもち米ケーキ,https://en.wikipedia.org/wiki/Nian_gao,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,130,cooked,subjective_medium,low,"mild, toasty",short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
87,トック,Tteok,Tteok,grain,rice,rice cake,塊/棒状,"製粉, 蒸す, 搗く",蒸す/煮る/焼く,false,もちもち,East Asia,Korea,"スープ, 甘味, ソース",secondary_or_ritual,"米,餅,韓国","餅,年糕",韓国の米餅類,https://en.wikipedia.org/wiki/Tteok,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,130,cooked,subjective_medium,low,"mild, toasty",short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
88,トッポッキ,Tteokbokki,Tteokbokki,grain,rice,rice cake dish,棒状,餅を成形,煮る/炒める,false,もちもち/辛い,East Asia,Korea,"コチュジャン, 魚板",snack_or_street_food,"米,餅,韓国,辛い",トック,棒状の米餅を甘辛く煮る料理,https://en.wikipedia.org/wiki/Tteokbokki,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,130,cooked,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
89,ビビンバ,Bibimbap,Bibimbap,grain,rice,mixed rice dish,粒状,"炊く, 混ぜる",炊く,false,粒状/多様,East Asia,Korea,"野菜, 肉, 卵, コチュジャン",common_meal,"米,混ぜご飯,韓国","ご飯,ガジョピント",米に具材をのせて混ぜる料理,https://en.wikipedia.org/wiki/Bibimbap,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,high,130,cooked,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
90,ヌルンジ,Nurungji,Nurungji,grain,rice,scorched rice,薄い焦げ/塊,"炊く, 焦がす",炊く/焼く,false,ぱりぱり/香ばしい,East Asia,Korea,"湯, お茶",common_side,"米,焦げ,韓国","おこげ,ご飯",炊飯時の焦げた米を食べる食品,https://en.wikipedia.org/wiki/Nurungji,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,130,cooked,subjective_medium,low,"mild, toasty",short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
91,包子,Baozi,Baozi,grain,wheat,steamed bun,丸い包みパン,"製粉, 練る, 発酵, 包む",蒸す,true,ふわふわ/具入り,East Asia,China,"肉, 野菜, 豆沙",common_meal,"小麦,蒸しパン,中国,包む","マントウ,饅頭",発酵小麦生地で具を包んで蒸す,https://en.wikipedia.org/wiki/Baozi,0.55,needs_review,very_high_global_crop; see FAOSTAT,low,medium,medium,260,bread/cooked average,subjective_medium,low,fermented,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
92,饅頭,Chinese steamed bun,Mantou/Bao,grain,wheat,steamed bread,丸いパン,"製粉, 練る, 発酵",蒸す,true,ふわふわ,East Asia,"China, Japan","あん, おかず",common_meal,"小麦,蒸す,パン","マントウ,包子",小麦生地を蒸したパン類,https://en.wikipedia.org/wiki/Chinese_steamed_bun,0.55,needs_review,very_high_global_crop; see FAOSTAT,low,medium,high,260,prepared bread average,subjective_medium,low,fermented,short_to_medium,room temperature short term; freeze for longer storage,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
93,葱油餅,Scallion pancake,Cong you bing,grain,wheat,pan-fried flatbread,薄焼き,"製粉, 練る, 層にする",焼く,false,ぱりぱり/もちっと,East Asia,"China, Taiwan","ねぎ, 油",snack_or_street_food,"小麦,薄焼き,ねぎ,中国","ロティ,パラタ",ねぎ入りの層状小麦薄焼き,https://en.wikipedia.org/wiki/Scallion_pancake,0.55,needs_review,very_high_global_crop; see FAOSTAT,low,medium,medium,260,prepared bread average,subjective_medium,low,"mild, toasty",short_to_medium,room temperature short term; freeze for longer storage,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
94,煎餅果子,Jianbing,Jianbing,grain_legume,"wheat, mung bean, millet",crepe wrap,薄焼き,"製粉, 生地化",焼く,false,薄い/ぱりぱり,East Asia,China,"卵, 揚げ生地, ソース",street_food,"小麦,薄焼き,中国,朝食","ドーサ,クレープ",中国の朝食向け薄焼き生地料理,https://en.wikipedia.org/wiki/Jianbing,0.55,needs_review,very_high_global_crop; see FAOSTAT,low,medium,medium,230,prepared flatbread average,subjective_medium,low,"mild, toasty",long,dry flour/grain airtight,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
95,刀削麺,Knife-cut noodles,Dao xiao mian,grain,wheat,noodle,太い削り麺,"製粉, 練る, 削る",茹でる,false,もちもち/弾力,East Asia,China,"スープ, ソース",common_meal,"小麦,麺,中国,茹でる","拉麺,うどん",小麦生地を削って作る麺,https://en.wikipedia.org/wiki/Knife_cut_noodles,0.55,needs_review,very_high_global_crop; see FAOSTAT,low,medium,medium,150,cooked noodle/pasta average,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
96,拉麺,Hand-pulled noodles,Lamian,grain,wheat,noodle,引き延ばし麺,"製粉, 練る, 伸ばす",茹でる,false,弾力/長い,East Asia,China,"スープ, 肉",common_meal,"小麦,麺,中国,手延べ","ラーメン,刀削麺",手で延ばして作る小麦麺,https://en.wikipedia.org/wiki/Hand_pulled_noodles,0.55,needs_review,very_high_global_crop; see FAOSTAT,low,medium,medium,150,cooked noodle/pasta average,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
97,ビャンビャン麺,Biangbiang noodles,Biangbiang mian,grain,wheat,wide noodle,幅広麺,"製粉, 練る, 伸ばす",茹でる,false,もちもち/幅広,East Asia,China,"油, 唐辛子, 酢",common_meal,"小麦,幅広麺,中国","拉麺,パスタ",陝西省の幅広小麦麺,https://en.wikipedia.org/wiki/Biangbiang_noodles,0.55,needs_review,very_high_global_crop; see FAOSTAT,low,medium,medium,150,cooked noodle/pasta average,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
98,河粉,Shahe fen,Shahe fen,grain,rice,wide rice noodle,幅広平麺,"米粉化, 成形",茹でる/炒める,false,つるつる,East Asia,China,"牛肉, ソース",common_meal,"米,麺,広東,平麺","フォー,クイティオ",幅広い米粉麺,https://en.wikipedia.org/wiki/Shahe_fen,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,150,cooked noodle/pasta average,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
99,腸粉,Rice noodle roll,Cheung fun,grain,rice,rice sheet roll,薄いシート巻き,"米粉化, 蒸す, 巻く",蒸す,false,つるつる/柔らかい,East Asia,"Hong Kong, Guangdong","醤油, 具材",common_breakfast,"米,シート,蒸す,香港","ライスペーパー,米粉麺",蒸した米粉シートを巻く料理,https://en.wikipedia.org/wiki/Rice_noodle_roll,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,130,cooked,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
100,シンガポールビーフン,Rice vermicelli stir-fry,Bee hoon,grain,rice,noodle,細麺,"米粉化, 乾燥",炒める/茹でる,false,軽い/つるつる,Southeast Asia,"Singapore, Malaysia","野菜, 肉, 魚介",common_meal,"米,ビーフン,炒める","ブン,フォー",米粉細麺を炒めた料理,https://en.wikipedia.org/wiki/Rice_vermicelli_stir_fry,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,150,cooked noodle/pasta average,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
101,ナシレマ,Nasi lemak,Nasi lemak,grain,rice,coconut rice,粒状,ココナッツミルクで炊く,炊く,false,香り/粒状,Southeast Asia,Malaysia,"サンバル, 卵, 魚",primary_or_common,"米,ココナッツ,マレーシア",ナシウドゥック,ココナッツミルクで炊いた米料理,https://en.wikipedia.org/wiki/Nasi_lemak,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,130,cooked,subjective_medium_high,low,mild,short_prepared,eat fresh or refrigerate cooked portions,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
102,ナシゴレン,Nasi goreng,Nasi goreng,grain,rice,fried rice,粒状,炊く,炒める,false,粒状/香ばしい,Southeast Asia,Indonesia,"卵, サンバル, 肉",common_meal,"米,炒飯,インドネシア",チャーハン,インドネシアの炒飯,https://en.wikipedia.org/wiki/Nasi_goreng,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,260,fried prepared food estimate,subjective_medium,low,mild,medium,dry grain in airtight container,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
103,ナシウドゥック,Nasi uduk,Nasi uduk,grain,rice,coconut rice,粒状,ココナッツミルクで炊く,炊く,false,香り/粒状,Southeast Asia,Indonesia,"揚げ物, サンバル",common_meal,"米,ココナッツ,インドネシア",ナシレマ,香辛料とココナッツで炊く米,https://en.wikipedia.org/wiki/Nasi_uduk,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,130,cooked,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
104,ナシクニン,Nasi kuning,Nasi kuning,grain,rice,yellow rice,粒状,ターメリックで炊く,炊く,false,香り/黄色,Southeast Asia,Indonesia,"卵, 肉, 野菜",ritual_or_special,"米,黄色,インドネシア",ビリヤニ,ターメリックで黄色く炊く米料理,https://en.wikipedia.org/wiki/Nasi_kuning,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,130,cooked,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
105,クトゥパット,Ketupat,Ketupat,grain,rice,compressed rice cake,包み/塊,葉で包む,茹でる,false,固め/粒状,Southeast Asia,"Indonesia, Malaysia","カレー, サテ",ritual_or_common,"米,包む,東南アジア",ロントン,ヤシ葉で包んで茹でる米,https://en.wikipedia.org/wiki/Ketupat,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,130,cooked,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
106,ロントン,Lontong,Lontong,grain,rice,compressed rice cake,円筒/塊,葉や袋で包む,茹でる,false,固め/柔らかい,Southeast Asia,"Indonesia, Malaysia","カレー, 野菜",common_meal,"米,圧縮,インドネシア",クトゥパット,圧縮して固めた米料理,https://en.wikipedia.org/wiki/Lontong,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,130,cooked,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
107,レマン,Lemang,Lemang,grain,rice,coconut sticky rice,竹筒/塊,竹筒に詰める,焼く,false,もちもち/香り,Southeast Asia,"Malaysia, Indonesia","肉, カレー",ritual_or_special,"もち米,竹,マレーシア",クトゥパット,竹筒で炊くもち米,https://en.wikipedia.org/wiki/Lemang,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,130,cooked,subjective_medium,low,"mild, toasty",short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
108,カオニャオ,Sticky rice,Khao niao,grain,glutinous rice,sticky rice,粒状,浸水,蒸す,false,もちもち,Southeast Asia,"Laos, Thailand","肉, ラープ, マンゴー",primary_staple,"もち米,ラオス,タイ",ご飯,東南アジアのもち米主食,https://en.wikipedia.org/wiki/Sticky_rice,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,130,cooked,subjective_medium_high,low,mild,short_prepared,eat fresh or refrigerate cooked portions,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
109,カオソーイ,Khao soi,Khao soi,grain,wheat/noodles,noodle soup,麺,製麺,茹でる,false,スープ/弾力,Southeast Asia,"Northern Thailand, Myanmar","カレー, 肉",common_meal,"麺,カレー,タイ",ラーメン,カレー風味の麺料理,https://en.wikipedia.org/wiki/Khao_soi,0.55,needs_review,very_high_global_crop; see FAOSTAT,low,medium,medium,150,cooked noodle/pasta average,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
110,パッタイ,Pad Thai,Pad Thai,grain,rice,noodle stir-fry,平麺,米粉麺,炒める,false,つるつる/甘酸っぱい,Southeast Asia,Thailand,"卵, 豆腐, エビ",common_meal,"米麺,炒める,タイ",フォー,タイの米麺炒め,https://en.wikipedia.org/wiki/Pad_Thai,0.55,needs_review,very_high_global_crop; see FAOSTAT,medium,medium,medium,150,cooked noodle/pasta average,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.35,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
